Comment,Designator,Footprint,LCSC
10k,"R1,R10,R11,R12,R13,R14,R15,R16,R2,R21,R22,R23,R24,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C13564
10k,"R17,R18,R19,R20",R_0603_1608Metric,C15401
0.1uF,C2,C_0603_1608Metric,C1590
10uF,C3,C_0603_1608Metric,C1691
10uF,C1,C_0603_1608Metric,C34696
AP2112K-3.3,U5,SOT-23-5,C51118
Conn_01x04_Pin,J1,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,C5160787
MLX90393SLW-ABA-011-SP,"U1,U2,U3,U4",QFN50P300X300X100-17N,C5371633
BSS138,"Q1,Q2",SOT-23,C75547
