"Footprint","Part Value","LCSC Part"
"0.1uF","C2","C_0603_1608Metric"
"10k","R17,R18,R19,R20","R_0603_1608Metric"
"10k","R1,R2,R3,R4","R_0603_1608Metric"
"10uF","C1,C3","C_0603_1608Metric"
"AP2112K-3.3","U5","SOT-23-5"
"BSS138","Q1,Q2","SOT-23"
"Conn_02x04_Odd_Even","J1","PinSocket_2x04_P2.54mm_Vertical_SMD"
"~","M1,M2,M3,M4","QFN50P300X300X100-17N"
